Mail,Filename,Predictions
fw : tst12345678 thanks test pensions i have copied all the admin details on our data so someone from the team can look into this though looking at the file there does seem to be a few emails on the file to ifa so may just be a lack of clarity on what the hold up for mr abc is please can someone contact the client asap to nip this complaint in the bud thanks test fund - - - - - original message - - - - - from : test pensions pensions com sent : 01 december 2020 10 : 11 to : testfund pensions com subject : fw : tst12345678 hi test fund i am not sure if stu is around but please can you pass this on to the manager of mr abc scheme please i have issued an initial holding response as per the attached but this will need to be escalated accordingly thanks test pensions - - - - - original message - - - - - from : test pensions pensions com sent : 01 december 2020 10 : 04 to : abc xyz testmail com subject : re : tst12345678 good morning mr abc firstly please accept my apologies on behalf of xyz for the problems that you have been experiencing we take matters like this very seriously and i will do everything i can to assist you your email has come through to our specialist sipp and ssas team mailbox and we are unfortunately not the area that look after your pension scheme we also do not have access to the main pensions administration area records to enable me to search for your scheme and trace your policy however i have referred your email across to our complaints team and also to a senior manager in our main pensions administration area to enable them to trace your scheme and make contact with you regarding this they should be in touch with you shortly in the meantime i can also confirm that there is a customer service centre for our main pensions administration area which you can contact if you need to in the future by telephone on + 91 012345678 or by email to test pensions pensions com to help them to trace your scheme in the future you may need to quote the name of the scheme your policy reference number and your name and national insurance number i hope this is of assistance to you for the future and please rest assured that someone will be in touch with you shortly regarding your scheme kind regards test pensions - - - - - original message - - - - - from : abc xyz testmail com sent : 30 november 2020 14 : 30 to : test pensions pensions com subject : tst12345678 hi i ve sent the below message to the contact us page on your website someone needs to contact me or reply to test ifa with regards to transferring this pension to them you do not respond to me you do not respond to them nobody answers your phone this request was first made in september and will be sent to the ombudsman this week unless you actually reply to someone i will try here as well can someone respond to this before i m left no option but to go to the ombudsman from my point of view you have 20000 of my money you refuse to handover i consider that a form of theft i know someone looks at this as i ve been sent three useless letters in the post that achieve nothing you need to reply to test ifa when they contact you i thought def had the worst customer service ever but at least they eventually respond this is just corporate stonewalling have you tried using your service it s pathetic thanks abc,FW TST12345678.msg,Transfer
change of address please could you send me a form for change of address my current address is mrs abc 10 test road test street aa12 123 my old address is 09 test road test street ee12 123 regards abc,Change of addresss.msg,MDU
fw : information request - letter of authority attached ref : tst12345678 hello team please see below query and reply accordingly to the member ifa many thanks test pensions from : test ifa fincorp com sent : 01 december 2020 08 : 35 to : test pensions pensions com subject : information request - letter of authority attached ref : tst12345678 dear representative of xx please see attached herewith an authorisation letter from with the following personal information : customer personal information : name : abc current address : 10 test road test street aa12 123 date of birth : 01 01 1400 gender : male national insurance number : zz123123z pension type : workplace workplace pension information : employer name : test employer pension provider : xx pension reference number : not known estimated valuation : not known additional information provided : please see information request attachment please note any reference number s or scheme name s listed above are those known to the customer there may however be additional pensions belonging to the customer therefore please ensure you provide information on all of test pensions with xx not just those referenced above with respect to the customer above please provide information on the following : latest transfer valuation current status of the plan : in force paid up or in payment are there any exit charges associated with the specific funds or with the plan overall any guaranteed or non - standard benefits including guaranteed salaries guaranteed annuity rates guaranteed maturity amount guaranteed minimum pension and any other benefits and the conditions attached to them please confirm whether partial transfers are possible from this plan if transfer forms are required to action a transfer out of the scheme please include these in your response test ifa is a company with the following details : company name : test ifa email : test ifa fincorp com address : 10 test road test street aa12 123 telephone : + 91 012345678 please contact test ifa if you require further information sincerely test ifa,Information Request - Letter of Authority attached (Ref TST12345678).msg,Transfer
pension hello my name is abc xyz i am 56 years old and would like to take a portion of my gkn pension but not sure how to go about it would be thankful if someone could contact me on 123456789 many thanks sent from my huawei phone,FW Pension .msg,Retirement
re : change of marital status - abc - zz123123z abc from : test jobcreation pensions com sent : 15 october 2020 14 : 09 to : test pensions pensions com subject : fw : change of marital status - abc - zz123123z hi test pensions please provide the email address as it is missing on below email regards test creation from : abc xyz testmail com sent : tuesday october 13 2020 2 : 47 : 37 to : test pensions pensions com subject : change of marital status - abc - zz123123z hi i would like to notify you that i recently married and would ask that you amend your records to ensure my husband xyz is now listed as the beneficiary to my pension i have attached a copy of my wedding certificate my address is : 10 test road test street aa12 123 please let me know if you require any further information many thanks and regards abc,Change of marital status - ABC - ZZ123123Z.msg,MDU
abc xyz deceased dear sirs we refer to the above and attach a letter and grant of probate for abc xyz the originals of the attached will be sent out in the post this evening we look forward to hearing from you yours faithfully abc xyz fin corp ltd t : + 91 012345678 e : test pensions pensions com 10 test road test street aa12 123,ABC XYZ deceased.msg,Death
re : change of personal details name abc further to my previous email my date of birth is 01 january 1400 t i pension reference number tst12345678 national insurance number zz123123z change of address from 70 test road test street wa12 123 new address 10 test road test street aa12 123 mobile + 91 012345678 email abc xyz testmail com<mailto : email jackie barrett123197 gmail com regards abc on wed 14 oct 2020 15 : 01 abc xyz testmail com<mailto : abc xyz testmail com wrote : name abc test group pension scheme member reference number tst12345678 national insurance number zz123123z i wish to advice you on my change of address now; 10 test road test street aa12 123 mobile number + 91 012345678 regards abc - - abc,Change of personal details.msg,MDU
fw : change of address for test pension - - - - - original message - - - - - from : abc xyz testmail com sent : 16 october 2020 12 : 59 to : test pensions pensions com subject : change of address for test pension dear sir ma am please note a change of address for a recipient of a test pension pension ref tst12345678 mrs abc of 10 test road test street aa12 123 has now moved to 10 test road test street aa12 123 banking details remain the same please update your records accordingly many thanks abc + 91 012345678,Change of address for TEST pension.msg,MDU
change of address details hi i am in the test pension scheme and we have moved house in the last few days i have updated my address details with hr here at xxx but wondered how i can do this on my test pension account or will this update automatically over time now that hr are aware regards abc,Change of address details.msg,MDU
lmno request for a guaranteed cetv pack to test pensions regarding your existing client lmno please find attached the new letter of request for a guaranteed cetv pack for lmno our letter of authority is already on your files and the client has now opted out of the pension scheme please send all the relevant information by post and send a copy by return email please contact me if you need any further information to be able to send the guaranteed cetv pack to us for lmno kind regards test ifa 10 test road test street aa12 123 + 91 012345678,LMNO request for a guaranteed CETV pack.msg,Transfer
pension value dear sir madam i would like to know how i can review the total value of my pension and its transfer value i can access fin corp but can only find my annual entitlement at retirement age regards abc xyz supply chain me direct : + 91 012345678 mobile : + 91 012345678 email : abc xyz testmail com,FW Pension value.msg,Retirement
 pre - identified user support request reply email address : test pensions pensions com forename : abc xyz surname : def ni number : zz123123z dob : 01 jan 1400 home postcode : aa12 123 employer : fin corp ltd subject : question re my test pension and the lifetimes allowance content : i am 55 in 1400 and i am now looking to start considering my pension retirement options i have a sipp with over 100 000 in it so looking ahead i am conscious that over the next few years i may come close to the lifetime allowance when i also consider the value of my test pension my understanding is that to work out the amount of my test pension within the lifetime allowance i multiply the annual pension payment by 20 is it possible to tell me what my pension is for lifetimes allowance calculation at 55 amd 60 much appreciated,FW PRE-IDENTIFIED USER SUPPORT REQUEST 2.msg,Retirement
